Variable,Minimum,Maximum,Moyenne,Écart-Type
PAO,87.49,167.34,127.3,27.9
PAA,1.37,10.5,4.94,3.03
VIO,63.47,162.79,96.09,38.66
VIA,12.33,110.79,58.87,31.23
POT,27.27,53.17,38.58,7.87
LEC,2.95,11.96,6.53,2.81
RAI,4.19,17.97,10.3,4.45
PLP,5.58,40.62,24.17,12.33
